arquivo_logo,marca,qtd_produtos,ja_tem_logo
nova-clean.png,Nova Clean,16,SIM
ype.png,Ypê,13,SIM
tuff.png,Tuff,9,SIM
limpadua.png,Limpadua,8,SIM
uau.png,UAU,8,SIM
urca.png,Urca,8,SIM
facilita.png,Facilita,7,SIM
azulim.png,Azulim,6,SIM
pratico.png,Prático,6,SIM
veja.png,Veja,5,SIM
alpes.png,Alpes,4,SIM
copobras.png,Copobras,4,SIM
cloral.png,Cloral,3,SIM
urso.png,Urso,3,SIM
alumil.png,Alumil,2,SIM
fort.png,Fort,2,SIM
limpol.png,Limpol,2,SIM
omo.png,OMO,2,SIM
bic.png,BIC,1,SIM
chamex.png,Chamex,1,SIM
vitral.png,Vitral,1,SIM
dac.png,Dac,1,SIM
downy.png,Downy,1,SIM
faber-castell.png,Faber-Castell,1,SIM
invicto.png,Invicto,1,SIM
neve.png,Neve,1,SIM
pritt.png,Pritt,1,SIM
rolopac.png,Rolopac,1,SIM
ruth-care.png,Ruth Care,1,SIM
santher.png,Santher,1,SIM
scotch.png,Scotch,1,SIM
scrity.png,Scrity,1,SIM
snob.png,Snob,1,SIM
tilibra.png,Tilibra,1,SIM
tixan.png,Tixan,1,SIM
ultralar.png,Ultralar,1,SIM
