arquivo_foto,categoria,produto,marca,variante_embalagem,preco,ja_tem_foto
l1.jpg,Limpeza,Detergente para Louça,Ypê,Neutro · 500ml,"R$ 2,85",NAO
l2.jpg,Limpeza,Detergente para Louça,Ypê,Limão · 500ml,"R$ 2,85",NAO
l3.jpg,Limpeza,Detergente para Louça,Ypê,Coco · 500ml,"R$ 2,85",NAO
l4.jpg,Limpeza,Detergente para Louça,Ypê,Capim-Limão · 500ml,"R$ 2,85",NAO
l5.jpg,Limpeza,Detergente para Louça,Ypê,Maçã · 500ml,"R$ 2,85",NAO
l6.jpg,Limpeza,Detergente para Louça,Ypê,Enz. Ativo · 500ml,"R$ 3,47",NAO
l7.jpg,Limpeza,Detergente para Louça,Ypê,Enz. Ativo P · 500ml,"R$ 3,47",NAO
l8.jpg,Limpeza,Detergente para Louça,Azulim,Maçã · 500ml,"R$ 3,59",NAO
l9.jpg,Limpeza,Detergente para Louça,Azulim,Clear · 500ml,"R$ 3,59",NAO
l10.jpg,Limpeza,Detergente para Louça,Limpadua,Neutro · 500ml,"R$ 2,20",NAO
l11.jpg,Limpeza,Detergente para Louça,Alpes,Clear c/bicarbonato · 1L,"R$ 5,80",NAO
l12.jpg,Limpeza,Água Sanitária,Tuff,5L,"R$ 22,15",NAO
l13.jpg,Limpeza,Água Sanitária,Tuff,1L,"R$ 5,75",NAO
l14.jpg,Limpeza,Água Sanitária,Ypê,1L,"R$ 5,70",NAO
l15.jpg,Limpeza,Água Sanitária,Ypê,5L,"R$ 20,29",NAO
l16.jpg,Limpeza,Água Sanitária,Limpadua,1L,"R$ 2,80",NAO
l17.jpg,Limpeza,Água Sanitária,Limpadua,2L,"R$ 4,95",NAO
l18.jpg,Limpeza,Água Sanitária,Limpadua,5L,"R$ 12,85",NAO
l19.jpg,Limpeza,Água Sanitária,Cloral,1L,"R$ 3,25",NAO
l20.jpg,Limpeza,Água Sanitária,Cloral,2L,"R$ 4,80",NAO
l21.jpg,Limpeza,Água Sanitária,Cloral,5L,"R$ 11,70",NAO
l22.jpg,Limpeza,Sabão em Pó / Lava-Roupas em Pó,Urca,Concentrado,"R$ 6,90",NAO
l23.jpg,Limpeza,Sabão em Pó / Lava-Roupas em Pó,Ultralar,500g,"R$ 3,15",NAO
l24.jpg,Limpeza,Sabão em Pó / Lava-Roupas em Pó,Tixan,Primavera · 400g,"R$ 6,99",NAO
l25.jpg,Limpeza,Sabão em Pó / Lava-Roupas em Pó,Facilita,Tradicional · 800g,"R$ 7,50",NAO
l26.jpg,Limpeza,Sabão em Pó / Lava-Roupas em Pó,Invicto,Lavanda · 400g,"R$ 3,75",NAO
l27.jpg,Limpeza,Sabão em Barra / Coco,Ypê,Toque de Aveia · 160g,"R$ 4,99",NAO
l28.jpg,Limpeza,Sabão em Barra / Coco,Ypê,Multi Ativo · 160g,"R$ 3,59",NAO
l29.jpg,Limpeza,Sabão em Barra / Coco,Ypê,Neutro · 160g,"R$ 4,99",NAO
l30.jpg,Limpeza,Sabão em Barra / Coco,Urca,5x90g,"R$ 8,70",NAO
